station_name,months_observed,months_predicted_non_compliant,months_rule_non_compliant,average_risk_score,max_risk_score,average_predicted_non_compliance_probability,most_common_violation_reason,most_severe_risk_category,first_observed_month,last_observed_month,hotspot_status
"Patalganga river near intake of MIDC water works  (Turade w/w). Village. Turade, Taluka. Khalapur, District. Raigad.",3,1,1.0,0.11333333333333334,0.34,0.3333333333333333,BOD (3.4 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Pawana river at  Dapodi bridge, at Pawana. Mulla Sangam,  Village. Dapodi, Taluka. Haweli, District. Pune.",3,3,3.0,6.916666666666667,14.33,1.0,DO (3.9 < 5); BOD (9.5 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Pawana river at Chinchwadgaon, Village. Chinchwadgaon,Taluka. Haweli,District. Pune.",3,3,3.0,10.566666666666668,17.69,1.0,DO (4.1 < 5); BOD (8.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Pawana river at Kasarwadi, Village. Kasarwadi, Taluka. Haweli, District. Pune.",3,3,3.0,15.399999999999999,24.61,1.0,DO (3.2 < 5); BOD (15.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Pawana river at Pimprigaon, Village. Pimprigaon, Taluka. Haweli, District. Pune.",3,3,3.0,9.803333333333333,20.09,1.0,DO (3.5 < 5); BOD (12.5 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Pawana river at Ravet Weir, Village. Ravet, Taluka. Haweli, District. Pune.",3,3,3.0,3.6166666666666667,5.97,1.0,DO (4.7 < 5); BOD (7.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Pawana river at Sangavigaon,  Village. Sangavigaon, Taluka. Haweli, District. Pune.",3,2,2.0,7.983333333333333,21.74,0.6666666666666666,DO (3.4 < 5); BOD (13.5 > 3),Low Risk,Aug,Sep,Recurring Risk
"Pedhi river near road bridge at Dadhi. Pedhi village, Village. Dadhi. Pedhi, Taluka. Bhatkuli, District. Amravati.",3,3,3.0,2.8866666666666667,7.13,1.0,DO (4.3 < 5); BOD (4.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Pehlar Dam on Pehlar river. inlet of water works, Village. Pehlar, Taluka. Vasai, District. Thane.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
Penganga River at Mehkar .Buldana Bridge.Akola,3,3,3.0,0.98,1.15,1.0,BOD (4.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Penganga river D/s of Isapur Dam, Village. Isapur,Taluka. Pusad,District. Yavatmal.",3,3,3.0,1.1633333333333333,1.7,1.0,BOD (3.7 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Penganga river at washim- risod road bridge, village asegaonpen, Tal-risod, dist- washim",3,3,3.0,1.05,1.19,1.0,BOD (4.1 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Penganga river near water supply scheme of Umarkhed M.C., Village. Belkhed,Taluka. Umarkhed, District. Yavatmal.",3,3,3.0,0.48333333333333334,0.77,1.0,BOD (3.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Pilli river  near wanjara layout, kamptee road, Dist-Nagpur",3,3,3.0,36.699999999999996,50.79,1.0,DO (1.2 < 5); BOD (13.9 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Pilli river  near, vill-mankapur on koradi road, Dist- Nagpur",3,3,3.0,40.03333333333333,69.94,1.0,DO (1.6 < 5); BOD (11.2 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Pimpal.Paneri nalla at Ratnagiri near Finolex Industries, Village. Yahganigaon, Taluka. Ratnagiri, District. Ratnagiri.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Purna River at Dhupeshwar at u/s of Malkapur water works, Malkapur, Dist.Akola",3,3,3.0,2.73,3.4,1.0,BOD (4.4 > 3); pH (8.6 not in 6.5-8.5),Low Risk,Aug,Sep,Persistent Hotspot
"Purna River, Yeldari dam, Dist- Parbhani",3,3,3.0,0.5666666666666668,0.85,1.0,BOD (3.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Purna river at D/s of confluence of Morna and Purna, at Andura Village, Village. Andura, Taluka. Balapur, District. Akola.",3,3,3.0,1.8433333333333335,2.38,1.0,BOD (4.7 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Purna river at Kolhapur Tal- Daryapur, Dist- Amravati",3,3,3.0,1.1066666666666667,1.87,1.0,BOD (3.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Purna river near Achalpur. Amravati road bridge, Asegaon, Village. Asegaon,Taluka. Chandur Bazar, District. Amravati.",3,2,2.0,0.6799999999999999,0.85,0.6666666666666666,BOD (3.6 > 3),Low Risk,Aug,Sep,Recurring Risk
"Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane.",3,3,3.0,55.11666666666667,72.49,1.0,DO (0.3 < 5); BOD (44.0 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Rangavali river at D/s of Navapur near Rangavali bridge, Village. Navapur, Taluka. Navapur, District. Nandurbar.",3,3,3.0,1.2466666666666668,1.53,1.0,BOD (4.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sandoz nalla, Village. Sandozbaug,Taluka. Thane,District. Thane.",3,3,3.0,56.23333333333334,74.2,1.0,DO (0.9 < 5); BOD (35.0 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Sarwali Creek, Village. Sarwali, Taluka. Palghar, District. Thane.",3,2,2.0,6.653333333333333,14.96,0.6666666666666666,DO (4.3 < 5); BOD (14.0 > 3),Low Risk,Aug,Sep,Recurring Risk
"Savitri river Jackwell at Upsa kendre , Village. Nangalwadi, Taluka. Mahad, District. Raigad.",3,1,1.0,0.05666666666666667,0.17,0.3333333333333333,BOD (3.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Savitri river at Dadli road bridge, Village. Dadli, Taluka. Mahad, District. Raigad.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Savitri river at Muthavali village,  Village. Muthavali, Taluka. Mahad, District. Raigad.",3,1,1.0,0.05666666666666667,0.17,0.3333333333333333,BOD (3.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Savitri river at Ovale village, Village. Ovale, Taluka. Mahad, District. Raigad.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Savitri river at Shedav Dov, Village. Shedav Dov, Taluka. Mahad, District. Raigad.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Savta Creek, Village. Savta, Taluka. Dahanu, District. Thane.",3,3,3.0,9.5,16.09,1.0,DO (4.0 < 5); BOD (12.5 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sea Water at Ganapathipule, Village. Ganapatipule, Taluka. Ratnagiri,  District. Ratnagiri.",3,3,3.0,9.36,11.06,1.0,BOD (12.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sea water at Bhagwati Bunder, Ratnagiri near Ultra Tech Cement Jetty , Village. Mirkarwada, Taluka. Ratnagiri, District. Ratnagiri.",3,3,3.0,9.926666666666668,11.06,1.0,BOD (14.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sea water at Charni road choupathy, Village. Girgaon, Taluka. Mumbai, District. Mumbai.",3,3,3.0,10.326666666666666,14.16,1.0,DO (4.4 < 5); BOD (14.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sea water at Gateway of India, Village. Colaba, Taluka. Colaba, District. Mumbai.",3,3,3.0,11.976666666666667,15.86,1.0,DO (4.4 < 5); BOD (16.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sea water at Haji Ali, Village. Worli, Taluka. Worli, District. Mumbai.",3,3,3.0,12.226666666666667,14.16,1.0,DO (4.4 < 5); BOD (14.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sea water at Juhu beach,  Village. Juhugaon, Taluka. Santacruz,  District. Mumbai.",3,3,3.0,12.613333333333335,15.86,1.0,DO (4.4 < 5); BOD (16.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sea water at Malabar Hill, Village. Walkeshwar,Taluka. Mumbai,District. Mumbai.",3,3,3.0,14.176666666666668,17.46,1.0,DO (4.2 < 5); BOD (16.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sea water at Nariman Point, Village. Colaba, Taluka. Colaba, District. Mumbai.",3,3,3.0,15.243333333333332,19.06,1.0,DO (4.4 < 5); BOD (14.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sea water at Shivaji park ( Dadar choupathy), Village. Dadar, Taluka.Dadar,  District. Mumbai.",3,3,3.0,11.676666666666668,19.06,1.0,BOD (8.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sea water at Versova beach, Village. Versova, Taluka. Andheri, District. Mumbai.",3,3,3.0,12.026666666666666,14.16,1.0,DO (4.8 < 5); BOD (14.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sea water at Worli seaface, Village. Worli, Taluka. Worli, District. Mumbai.",3,3,3.0,9.226666666666667,11.71,1.0,DO (4.6 < 5); BOD (12.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Sina river near Laboti toll naka, Village. Laboti,Taluka. Mohal, District. Solapur.",3,3,3.0,3.84,5.4,1.0,DO (4.9 < 5); BOD (8.4 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Surya River at U/S of Surya Dam, Village. Dhamni, Taluka. Vikramgad, District. Thane.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Surya river at MIDC pumping station on Boisar . Chillarphata road, Village. Garvashet, Taluka. Palghar, District. Thane",3,1,1.0,0.05666666666666667,0.17,0.3333333333333333,BOD (3.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Surya river at intake of Vasai.Virar water Scheme, Village. Masvan, Taluka. Palghar, District. Thane.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Tansa river near road bridge, Village. Dakewali, Taluka. Wada, District. Thane.",3,1,1.0,0.05666666666666667,0.17,0.3333333333333333,BOD (3.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Tapi river at Ajnad village, Village.Ajnad , Taluka. Raver, District.Jalgaon.",3,2,2.0,0.68,1.53,0.6666666666666666,BOD (3.6 > 3),Low Risk,Aug,Sep,Recurring Risk
"Tapi river at U/s, Bhusawal,Village. Bhusawal Railway Colony, Taluka. Bhusawal, District. Jalgaon.",3,2,2.0,2.545,4.24,0.6666666666666666,DO (4.6 < 5); BOD (3.8 > 3); pH (8.6 not in 6.5-8.5),Low Risk,Aug,Sep,Recurring Risk
"Tapi river at Ubad village near Gujratborder, Village. Ubad, Taluka. Shahada, District. Nandurbar.",3,3,3.0,3.323333333333333,8.95,1.0,BOD (3.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Tarapur MIDC Nalla ( Near Sump 2), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",3,3,3.0,77.6,77.6,1.0,DO (0.3 < 5); BOD (110.0 > 3),Severe Risk,Aug,Sep,Persistent Hotspot
"Tarapur MIDC Nalla ( Near Sump 3), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",3,3,3.0,77.6,77.6,1.0,DO (0.3 < 5); BOD (210.0 > 3),Severe Risk,Aug,Sep,Persistent Hotspot
"Tarapur MIDC Nalla ( near Sump 1), Village. MIDC Tarapur, Taluka. Palghar, District. Thane.",3,3,3.0,70.66,77.6,1.0,DO (0.3 < 5); BOD (58.0 > 3),Severe Risk,Aug,Sep,Persistent Hotspot
Thane creek Flamingo Sanctuary,3,3,3.0,9.22,13.16,1.0,DO (4.4 < 5); BOD (12.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Thane creek at Elephanta Island, Village. Elephanta Island , Taluka. Mumbai, District. Mumbai.",3,3,3.0,13.719999999999999,17.36,1.0,DO (4.4 < 5); BOD (12.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Thane creek at Kalwa road bridge, Village. Kalwa,Taluka. Thane,District. Thane.",3,3,3.0,12.396666666666667,31.06,1.0,BOD (8.4 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
"Titur river at  D/S of Chalisgaon, Village. Chalisgaon,Taluka. Jalgaon,District. Jalgaon.",3,1,1.0,3.93,3.93,0.3333333333333333,DO (4.7 < 5); BOD (4.8 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Ujani dam pumping station, Dist- Solapur ",3,2,2.0,0.45999999999999996,0.85,0.6666666666666666,BOD (4.0 > 3),Low Risk,Aug,Sep,Recurring Risk
"Ulhas creek at Gaimukh at Nagla Bunder on Ghod bunder road, Village. Nagla,Taluka. Thane,District. Thane.",3,3,3.0,2.0966666666666667,3.74,1.0,BOD (7.4 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Ulhas creek at Kolshet Reti bunder, Village. Kolshet, Taluka. Thane, District. Thane.",3,3,3.0,1.133333333333333,1.7,1.0,BOD (4.4 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Ulhas creek at Mumbra Reti bunder, Village. Mumbra,Taluka. Thane, District. Thane.",3,3,3.0,1.8133333333333332,2.55,1.0,BOD (4.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Ulhas creek at Reti bunder at D/s of Kalyan. Bhiwandi bridge, Village. Kalyan, Taluka. Kalyan, District. Thane.",3,3,3.0,2.1566666666666667,4.26,1.0,BOD (3.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Ulhas creek at Versova bridge, Village. Versova, Taluka. Vasai, District. Thane.",3,3,3.0,3.1199999999999997,4.26,1.0,BOD (6.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Ulhas river at Jambhul water works, Village. Jambhul, Taluka. Ambernath, District. Thane.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Ulhas river at U/s of Badlapur water works, Village. Kulgaon, Taluka. Ambernath, District. Thane.",3,1,1.0,0.11333333333333334,0.34,0.3333333333333333,BOD (3.4 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Ulhas river at U/s of NRC Bund, Village. Mohane, Taluka. Kalyan, District. Thane.",3,2,2.0,0.17,0.34,0.6666666666666666,BOD (3.2 > 3),Low Risk,Aug,Sep,Recurring Risk
"Ulhas river neral, Tal- Karjat, Dist- Raigad",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Urmodi river at Nagthne, Village. Nagthane,Taluka. Satara, District. Satara.",3,3,3.0,2.1366666666666667,3.91,1.0,BOD (7.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Uttan sea at Bhayander, Village. Uttan, Taluka. Bhayander, District. Thane.",3,3,3.0,11.659999999999998,15.86,1.0,DO (4.4 < 5); BOD (16.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Vaitarna river near road bridge, Village. Gandhare, Taluka. Wada, District. Thane.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
Vashi Creek at Airoli Bridge,3,3,3.0,9.293333333333335,13.36,1.0,DO (4.5 < 5); BOD (14.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
Vashi Creek at Vashi Bridge,3,3,3.0,8.876666666666667,12.46,1.0,DO (4.4 < 5); BOD (12.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Vashishti river at D/s of Three M Paper Mills near Chiplun water intake  jackwell,  Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",3,2,2.0,0.11333333333333334,0.17,0.6666666666666666,BOD (3.2 > 3),Low Risk,Aug,Sep,Recurring Risk
"Vashishti river at U/s of Pophali near Konphansawane bridge, Village. Pophali, Taluka. Chiplun, District. Ratnagiri.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Vashishti river at U/s of Three M Paper Mills near M/s Multifilms Plastic  Pvt. Ltd ., Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Vel river at Shikrapur, Village. Shikrapur,Taluka. Shirur, District. Pune.",3,3,3.0,1.7,1.7,1.0,BOD (5.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Venna river at  Mahabaleshwar, Village. Mahabaleshwar, Taluka. Mahabaleshwar, District. Satara.",3,2,2.0,0.34,0.68,0.6666666666666666,BOD (3.8 > 3),Low Risk,Aug,Sep,Recurring Risk
"Venna river at Mahuli, Village. Mahuli, Taluka. Mahuli, District. Satara.",3,3,3.0,0.7366666666666667,1.02,1.0,BOD (3.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Venna river at Varye, Village . Varye,Taluka. Satara, District. Satara.",3,1,1.0,0.6233333333333334,1.87,0.3333333333333333,BOD (5.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Waghur river at. Sakegaon before Confluence with Tapi river, Village. Sakegaon,Taluka. Jalgaon,District. Jalgaon.",3,2,2.0,1.13,1.24,0.6666666666666666,BOD (3.6 > 3); pH (8.7 not in 6.5-8.5),Low Risk,Aug,Sep,Recurring Risk
"Wainganga river after confluence with Kanhan river, Village. Ambhora,Taluka. Kuhi, District. Nagpur.",3,3,3.0,1.6466666666666665,3.32,1.0,BOD (3.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wainganga river at Ashti, Village. Ashti, Taluka. Gondpipri, District.Chandrapur.",3,3,3.0,0.9933333333333332,2.55,1.0,BOD (3.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wainganga river at D/s of Ellora Paper Mills, Village. Tumsar, Taluka. Tumsar, District. Bhandara.",3,3,3.0,1.8433333333333335,2.13,1.0,BOD (4.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wainganga river at D/s of Gaurav Paper Mills, near jackwell,  Village. Bramhpuri, Taluka. Chandrapur, District. Chandrapur.",3,3,3.0,1.28,1.79,1.0,BOD (4.9 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wainganga river at U/s of Ellora Paper Mills, Village. Tumsar, Taluka. Tumsar, District. Bhandara.",3,3,3.0,1.3633333333333333,2.04,1.0,BOD (3.5 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wainganga river at U/s of Gaurav Paper Mills, near jackwell,  Village. Bramhpuri, Taluka. Chandrapur, District. Chandrapur.",3,3,3.0,0.8799999999999999,1.28,1.0,BOD (4.5 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wainganga river at kardha bridge, D/S of bhandara city, Dist- Bhandara",3,3,3.0,1.22,1.7,1.0,BOD (4.5 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wardha river at D/s of ACC Ltd. Ghuggus near WCL pump house, Village. Ghuggus, Taluka. Chandrapur, District. Chandrapur.",3,3,3.0,1.0766666666666667,1.7,1.0,BOD (3.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wardha river at D/s of Erai river at Hadasti near Arun Engg. Works, Village. Hadasti, Taluka. Chandrapur, District. Chandrapur.",3,3,3.0,0.9966666666666667,1.79,1.0,BOD (3.7 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wardha river at Pulgaon Railway Bridge, Village. Pulgaon,Taluka . Wardha, District. Wardha.",3,2,2.0,0.9933333333333333,2.13,0.6666666666666666,BOD (5.5 > 3),Low Risk,Aug,Sep,Recurring Risk
"Wardha river at Rajura bridge, Village. Rajura, Taluka. Chandrapur, District. Chandrapur.",3,3,3.0,0.8233333333333333,1.87,1.0,BOD (3.3 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wardha river at U/s of ACC Ltd. Ghuggus near WCL pump house, Village. Ghuggus, Taluka. Chandrapur, District. Chandrapur.",3,3,3.0,0.7366666666666667,1.19,1.0,BOD (3.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wardha river at U/s of Erai river at Hadasti near Arun Engg. Works, Village. Hadasti, Taluka. Chandrapur, District. Chandrapur.",3,2,2.0,0.5399999999999999,1.19,0.6666666666666666,BOD (3.5 > 3),Low Risk,Aug,Sep,Recurring Risk
"Wardha river at confluence point of Penganga & Wardha. Village. Jugad, Taluka. Wani, District. Yavatmal.",3,3,3.0,0.8233333333333333,1.36,1.0,BOD (3.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wena river at D/s of Mohata Mills, near  bridge on Hinganghat. Wadner road,  Village. Hinganghat, Taluka. Hinganghat,  District. Wardha.",3,3,3.0,1.6166666666666665,2.55,1.0,BOD (3.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Wena river at U/s of Mohata Mills, near Railway bridge on Wardha  Chandrapur Railway line, Village. Hinganghat, Taluka. Hinganghat, District. Wardha.",3,2,2.0,1.1333333333333333,1.7,0.6666666666666666,BOD (5.0 > 3),Low Risk,Aug,Sep,Recurring Risk
