slno,station,agency,state_lgd_code,state,district_lgd_code,district,tehsil,block,village,river,basin,tributary,subtributary,subsubtributary,local_river,latitude,longitude,data_acquisition_time,biochemical_oxygen_demand_mg_l,chemical_oxygen_demand_mg_l,fecal_coliform_mpn_100ml,total_coliform_mpn_100ml,source_file,dissolved_oxygen,bod,ph,temperature,conductivity,nitrate,fecal_coliform,total_coliform,fecal_streptococci,turbidity,cod,total_dissolved_solids,station_name,river_name,sampling_date,month,year,season,available_compliance_label,strict_compliance_label,core_parameter_count,available_compliance_parameters,missing_required_parameters,label_confidence,violation_reasons,violation_count,risk_score,risk_category,risk_confidence
378,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,01-07-2023 08:00,3.4,,92.0,170.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,3.4,,,,,92.0,170.0,,,3.4,,,,,,,,Non-Compliant,Insufficient_Data,1,BOD,"DO, pH",Low,BOD (3.4 > 3),1,0.85,Low Risk,Low
379,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,11-07-2023 08:00,3.4,,68.0,140.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,3.4,,,,,68.0,140.0,,,3.4,,,,,,,,Non-Compliant,Insufficient_Data,1,BOD,"DO, pH",Low,BOD (3.4 > 3),1,0.85,Low Risk,Low
380,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,01-08-2023 08:00,1.6,,270.0,1100.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.6,,,,,270.0,1100.0,,,1.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
381,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,21-08-2023 08:00,1.4,,45.0,1100.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.4,,,,,45.0,1100.0,,,1.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
382,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,01-09-2023 08:00,2.4,,92.0,200.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.4,,,,,92.0,200.0,,,2.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
383,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,11-09-2023 08:00,2.0,,140.0,700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.0,,,,,140.0,700.0,,,2.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
384,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,21-09-2023 08:00,1.2,,170.0,390.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.2,,,,,170.0,390.0,,,1.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
385,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,03-10-2023 08:00,1.4,,320.0,3500.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.4,,,,,320.0,3500.0,,,1.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
386,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,11-10-2023 08:00,2.0,,170.0,2200.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.0,,,,,170.0,2200.0,,,2.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
387,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,13-11-2023 08:00,1.6,,92.0,170.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.6,,,,,92.0,170.0,,,1.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
388,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,21-11-2023 08:00,1.4,,220.0,330.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.4,,,,,220.0,330.0,,,1.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
389,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,01-12-2023 08:00,2.0,,68.0,140.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.0,,,,,68.0,140.0,,,2.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
390,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,11-12-2023 08:00,1.6,,210.0,330.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.6,,,,,210.0,330.0,,,1.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
391,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,05-05-2024 08:00,2.6,,140.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.6,,,,,140.0,1700.0,,,2.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
392,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,11-06-2024 08:00,2.6,,1100.0,2800.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.6,,,,,1100.0,2800.0,,,2.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
393,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,21-06-2024 08:00,1.4,,170.0,2800.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.4,,,,,170.0,2800.0,,,1.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
394,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,01-08-2024 08:00,1.2,,260.0,1400.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.2,,,,,260.0,1400.0,,,1.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
395,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,12-08-2024 08:00,1.2,,270.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.2,,,,,270.0,1700.0,,,1.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
396,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,21-08-2024 08:00,1.4,,260.0,2200.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.4,,,,,260.0,2200.0,,,1.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
397,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,02-09-2024 08:00,2.3,,270.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.3,,,,,270.0,1700.0,,,2.3,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
398,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,11-09-2024 08:00,2.9,,260.0,2800.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.9,,,,,260.0,2800.0,,,2.9,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
399,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,21-09-2024 08:00,1.9,,260.0,2200.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.9,,,,,260.0,2200.0,,,1.9,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
400,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,01-10-2024 08:00,1.3,,270.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.3,,,,,270.0,1700.0,,,1.3,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
401,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,10-10-2024 08:00,2.5,,260.0,2200.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.5,,,,,260.0,2200.0,,,2.5,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
402,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,21-10-2024 08:00,1.1,,140.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.1,,,,,140.0,1700.0,,,1.1,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
403,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,04-11-2024 08:00,1.2,,260.0,2800.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.2,,,,,260.0,2800.0,,,1.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
404,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,11-11-2024 08:00,1.4,,140.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.4,,,,,140.0,1700.0,,,1.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
405,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,21-11-2024 08:00,2.0,,270.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.0,,,,,270.0,1700.0,,,2.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
406,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,02-12-2024 08:00,2.0,,270.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.0,,,,,270.0,1700.0,,,2.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
407,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,11-12-2024 08:00,1.0,,140.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.0,,,,,140.0,1700.0,,,1.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
408,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,20-12-2024 08:00,2.4,,260.0,2800.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.4,,,,,260.0,2800.0,,,2.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
409,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,01-01-2025 08:00,1.2,,260.0,2200.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.2,,,,,260.0,2200.0,,,1.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
410,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,10-01-2025 08:00,1.6,,140.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.6,,,,,140.0,1700.0,,,1.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
411,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,21-01-2025 08:00,1.4,,270.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.4,,,,,270.0,1700.0,,,1.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
412,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,01-02-2025 08:00,1.5,,140.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.5,,,,,140.0,1700.0,,,1.5,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
413,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,11-02-2025 08:00,0.6,,260.0,2800.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,0.6,,,,,260.0,2800.0,,,0.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
414,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,21-02-2025 08:00,0.8,,260.0,2200.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,0.8,,,,,260.0,2200.0,,,0.8,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
415,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,01-03-2025 08:00,1.2,,220.0,2200.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.2,,,,,220.0,2200.0,,,1.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
416,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,11-03-2025 08:00,2.3,,170.0,1700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.3,,,,,170.0,1700.0,,,2.3,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
417,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.8,21-03-2025 08:00,2.3,,220.0,700.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.3,,,,,220.0,700.0,,,2.3,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
418,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-01-2021 09:00,1.6,,2200.0,22.57,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.6,,,,,2200.0,22.57,,,1.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
419,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-02-2021 08:00,3.7,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,3.7,,,,,,,,,3.7,,,,,,,,Non-Compliant,Insufficient_Data,1,BOD,"DO, pH",Low,BOD (3.7 > 3),1,1.49,Low Risk,Low
420,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-03-2021 08:00,1.9,,340.0,2200.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.9,,,,,340.0,2200.0,,,1.9,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
421,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,05-04-2021 08:30,0.6,,70.0,120.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,0.6,,,,,70.0,120.0,,,0.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
422,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,11-06-2021 08:00,4.9,,1700.0,2200.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,4.9,,,,,1700.0,2200.0,,,4.9,,,,,,,,Non-Compliant,Insufficient_Data,1,BOD,"DO, pH",Low,BOD (4.9 > 3),1,4.04,Low Risk,Low
423,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,21-06-2021 08:00,,,80.0,220.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,,,,,,80.0,220.0,,,,,,,,,,,Insufficient_Data,Insufficient_Data,0,None,"DO, BOD, pH",Insufficient,None,0,,Unknown,Unknown
424,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-07-2021 08:30,1.6,,140.0,170.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.6,,,,,140.0,170.0,,,1.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
425,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,11-07-2021 08:30,1.6,,330.0,390.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.6,,,,,330.0,390.0,,,1.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
426,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,22-07-2021 09:00,0.8,,170.0,390.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,0.8,,,,,170.0,390.0,,,0.8,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
427,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,02-08-2021 08:30,1.4,,78.0,140.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.4,,,,,78.0,140.0,,,1.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
428,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,11-08-2021 08:33,1.1,,490.0,940.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.1,,,,,490.0,940.0,,,1.1,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
429,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,23-08-2021 09:00,3.2,,490.0,940.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,3.2,,,,,490.0,940.0,,,3.2,,,,,,,,Non-Compliant,Insufficient_Data,1,BOD,"DO, pH",Low,BOD (3.2 > 3),1,0.43,Low Risk,Low
430,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-09-2021 10:00,2.0,,790.0,1100.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.0,,,,,790.0,1100.0,,,2.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
431,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,13-09-2021 09:15,1.0,,330.0,490.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.0,,,,,330.0,490.0,,,1.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
432,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,21-09-2021 08:00,1.6,,340.0,1100.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.6,,,,,340.0,1100.0,,,1.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
433,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-10-2021 09:30,4.0,,940.0,1400.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,4.0,,,,,940.0,1400.0,,,4.0,,,,,,,,Non-Compliant,Insufficient_Data,1,BOD,"DO, pH",Low,BOD (4.0 > 3),1,2.13,Low Risk,Low
434,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,11-10-2021 10:00,2.2,,270.0,790.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.2,,,,,270.0,790.0,,,2.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
435,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,21-10-2021 08:00,3.2,,390.0,1400.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,3.2,,,,,390.0,1400.0,,,3.2,,,,,,,,Non-Compliant,Insufficient_Data,1,BOD,"DO, pH",Low,BOD (3.2 > 3),1,0.43,Low Risk,Low
436,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-11-2021 08:30,1.8,,790.0,1400.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.8,,,,,790.0,1400.0,,,1.8,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
437,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,11-11-2021 09:15,5.5,,940.0,1400.0,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,5.5,,,,,940.0,1400.0,,,5.5,,,,,,,,Non-Compliant,Insufficient_Data,1,BOD,"DO, pH",Low,BOD (5.5 > 3),1,5.32,Low Risk,Low
